Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
Short Jeans Feminino Cintura Alta Com Lycra Barra Desfiada,4.4,239.0,6.0,stillger,algodão,Feminino,primavera/verão,+1000,44.29,0.777777777777778,0.0262230057293962,0.0163934426229508,0.0569728181167081,736,25,7,1000.0,0.0327421555252387,0.176443838108231
Calça Jeans Feminina Flare Cós Alto Levanta Bumbum Hot Pants,4.4,1028.0,12.0,tizioti,algodão,Feminino,outono/inverno,+10mil,74.17,0.777777777777778,0.1131555751432349,0.1147540983606557,0.1079260598206064,766,25,3,10000.0,0.0009095043201455,0.176443838108231
Short Lipo Cinta Cintura Alta Power Barriga Modeladora Prada,4.5,27.0,11.0,stillger,poliéster,Feminino,primavera/verão,+100,49.41,0.8148148148148148,0.002864698104892,0.0983606557377049,0.0657037618089424,736,122,7,100.0,0.0327421555252387,0.1173260572987721
Roupa Térmica Flanelada Kit 2 Calças + 2 Blusas Segunda Pele,4.4,128.0,10.0,sm,poliéster,Masculino,outono/inverno,+1000,189.73,0.777777777777778,0.0139929484354341,0.0819672131147541,0.3049861873742369,723,122,3,1000.0,0.0013642564802182,0.1173260572987721
Calça Jeans Feminina Super Lipo Sawary Roupas Femininas,4.5,151.0,6.0,sawary,jeans,Feminino,outono/inverno,+1000,172.51,0.8148148148148148,0.0165271044513001,0.0163934426229508,0.2756215681593397,692,75,3,1000.0,0.0068212824010914,0.0300136425648021
Kit 03 Bermudas Jeans Vira Lata Original,3.5,4.0,10.0,vira lata wear,jeans,Masculino,primavera/verão,+50,159.91,0.4444444444444445,0.000330542089026,0.0819672131147541,0.254135261416732,801,75,7,50.0,0.0013642564802182,0.0300136425648021
Kit 2 Shorts Bermuda Anagua Segunda Pele P/ Usar C/ Roupas,3.8,18.0,15.0,beleza feminina,microfibra,Unissex,primavera/verão,+100,50.26,0.5555555555555555,0.001873071837814,0.1639344262295082,0.0671532348828484,117,101,7,100.0,0.0004547521600727,0.0300136425648021
Short Jeans Plus Size Cintura Alta Barra Desfiada Com Lycra,4.4,10.0,7.0,stillger jeans,algodão,Feminino,primavera/verão,+100,64.76,0.777777777777778,0.000991626267078,0.0327868852459016,0.0918795402612462,738,25,7,100.0,0.0154615734424738,0.176443838108231
Short Saia Jeans Plus Size Feminino Cintura Alta Com Lycra,4.9,77.0,11.0,stillger jeans,algodão,Feminino,primavera/verão,+100,72.88,0.9629629629629632,0.008373732921992,0.0983606557377049,0.1057262712731489,738,25,7,100.0,0.0154615734424738,0.176443838108231
Shorts Masculino Essentials Woven adidas,4.7,28.0,16.0,adidas,poliéster,Masculino,não definido,+100,179.99,0.888888888888889,0.002974878801234,0.180327868852459,0.2883769312097132,13,122,1,100.0,0.0109140518417462,0.1173260572987721
Conjunto Térmico Inverno Forrado 2ªpele + Gorro +luva Touch,4.6,44.0,5.0,hype shop,"poliéster peluciado por dentro, com elastano",Sem gênero,não definido,+100,168.36,0.8518518518518517,0.004737769942706,0.0,0.2685447290337983,360,124,1,100.0,0.0004547521600727,0.0004547521600727
Kit 3 Conjunto Menino Roupa Infantil Shorts Moletom Tactel,4.7,7.0,10.0,kn3kids,algodão,Meninos,primavera/verão,+25,122.61,0.888888888888889,0.000661084178052,0.0819672131147541,0.1905289724088537,417,25,7,25.0,0.0009095043201455,0.176443838108231
Kit 2 Calça Moletom Masculina Plus Size Extra G G1 G2 G3 G4,4.4,40.0,10.0,daze,moletom,Masculino,outono/inverno,+100,169.91,0.777777777777778,0.004297047157338,0.0819672131147541,0.271187885815627,215,107,3,100.0,0.0004547521600727,0.0027285129604365
Calça Wide Leg Plus Size Jeans Levanta Bumbum Cintura Alta,4.9,18.0,10.0,stillger,algodão,Feminino,outono/inverno,+100,78.09,0.9629629629629632,0.001873071837814,0.0819672131147541,0.1146106885849732,736,25,3,100.0,0.0327421555252387,0.176443838108231
Short Jeans Feminino Com Lycra Levanta Bumbum Destroyed,4.7,9.0,20.0,stillger,algodão,Feminino,primavera/verão,+50,49.92,0.888888888888889,0.000881445570736,0.2459016393442623,0.066573445653286,736,25,7,50.0,0.0327421555252387,0.176443838108231
Short Meia Coxa Claro Com Ilhós Roupa Feminina.,4.1,7.0,24.0,atacado da moda,algodão,Feminino,não definido,+25,59.99,0.6666666666666666,0.000661084178052,0.3114754098360656,0.0837454384229733,61,25,1,25.0,0.0009095043201455,0.176443838108231
Short Saia Jeans Plus Size Feminino Cintura Alta Com Lycra,4.9,77.0,11.0,stillger jeans,algodão,Feminino,primavera/verão,+100,72.88,0.9629629629629632,0.008373732921992,0.0983606557377049,0.1057262712731489,738,25,7,100.0,0.0154615734424738,0.176443838108231
Short Jeans Plus Size Cintura Alta Barra Desfiada Com Lycra,4.4,10.0,7.0,stillger jeans,algodão,Feminino,primavera/verão,+100,64.76,0.777777777777778,0.000991626267078,0.0327868852459016,0.0918795402612462,738,25,7,100.0,0.0154615734424738,0.176443838108231
Shorts Masculino Essentials Woven adidas,4.7,28.0,16.0,adidas,poliéster,Masculino,não definido,+100,179.99,0.888888888888889,0.002974878801234,0.180327868852459,0.2883769312097132,13,122,1,100.0,0.0109140518417462,0.1173260572987721
Kit 4 Conjunto Moletom Menino Infantil Gola Careca Masculino,4.0,41.0,6.0,colbacho,algodão,Bebês,não definido,+100,134.61,0.6296296296296297,0.00440722785368,0.0163934426229508,0.2109921216875277,192,25,1,100.0,0.0054570259208731,0.176443838108231
Kit 3 Conjunto Menino Roupa Infantil Shorts Moletom Tactel,4.7,7.0,10.0,kn3kids,algodão,Meninos,primavera/verão,+25,122.61,0.888888888888889,0.000661084178052,0.0819672131147541,0.1905289724088537,417,25,7,25.0,0.0009095043201455,0.176443838108231
"Kit Com 4 Short Para Usar Embaixo Da Roupa, Vestido, Saia",4.2,88.0,11.0,silvest lingerie,poliéster,Feminino,primavera/verão,+1000,57.93,0.7037037037037038,0.009585720581754,0.0983606557377049,0.0802325977968009,719,122,7,1000.0,0.0022737608003638,0.1173260572987721
Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,4.2,621.0,5.0,lupo,algodão 95%,Masculino,2021,+1000,179.9,0.7037037037037038,0.0683120317320405,0.0,0.2882234575901231,463,27,0,1000.0,0.0422919508867667,0.003638017280582
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,4.3,178.0,24.0,celi,brim 100% algodão,Sem gênero,não definido,+1000,203.88,0.7407407407407406,0.0195019832525341,0.3114754098360656,0.3291156508986733,177,46,1,1000.0,0.0077307867212369,0.0090950432014552
Roupa Térmica Peluciado Blusa Calça Touca Cachecol Meia Luva,4.8,6.0,10.0,neve segunda pele térmica,poliéster/elastano,Feminino,outono/inverno,+25,199.1,0.925925925925926,0.00055090348171,0.0819672131147541,0.3209644964360015,564,127,3,25.0,0.0031832651205093,0.001819008640291
Calça Para Trabalho Pesado Uniforme Pedreiro Mecânico Obra,4.1,303.0,11.0,miglar,brim algodão microfibra,Masculino,primavera/verão,+10mil,53.05,0.6666666666666666,0.0332745702952842,0.0983606557377049,0.0719109170901401,513,48,7,10000.0,0.0004547521600727,0.0004547521600727
Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,4.2,621.0,5.0,lupo,algodão 95%,Masculino,2021,+1000,179.9,0.7037037037037038,0.0683120317320405,0.0,0.2882234575901231,463,27,0,1000.0,0.0422919508867667,0.003638017280582
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,4.3,178.0,24.0,celi,brim 100% algodão,Sem gênero,não definido,+1000,203.88,0.7407407407407406,0.0195019832525341,0.3114754098360656,0.3291156508986733,177,46,1,1000.0,0.0077307867212369,0.0090950432014552
Calça Jeans Feminina Plus Size Flare Com Lycra Cintura Alta,4.5,30.0,9.0,stillger,algodão,Feminino,outono/inverno,+100,78.59,0.8148148148148148,0.003195240193918,0.0655737704918032,0.115463319804918,736,25,3,100.0,0.0327421555252387,0.176443838108231
Kit 3 Conjuntos Short + Top Nadador Fitness Roupas Femininas,4.6,17.0,19.0,fabricacao propria,poliéster,Feminino,primavera/verão,+100,129.21,0.8518518518518517,0.001762891141472,0.2295081967213114,0.2017837045121244,283,122,7,100.0,0.0022737608003638,0.1173260572987721
Kit 10 Cuecas Boxer Mash Algodão Cotton Box Original Oferta,4.6,1700.0,22.0,mash,algodão,Masculino,primavera/verão,+10mil,229.39,0.8518518518518517,0.1871970030850595,0.2786885245901639,0.3726168957402544,494,25,7,10000.0,0.0109140518417462,0.176443838108231
"Bermuda Térmica Masculina Esportiva Corrida, Academia Treino",4.8,1004.0,24.0,keeper,microfibra,Masculino,primavera/verão,+10mil,48.52,0.925925925925926,0.1105112384310268,0.3114754098360656,0.0641860782374407,406,101,7,10000.0,0.0086402910413824,0.0300136425648021
Shorts Feminino Size Paete Cintura Alta Curto P Ao 52,4.3,7.0,6.0,short menina mulher look verão,roupa tik tok blogueirinha adulta,roupa para gordinha pluss P ao 52,primavera/verão,+50,78.16,0.7407407407407406,0.000661084178052,0.0163934426229508,0.1147300569557654,710,136,7,50.0,0.0009095043201455,0.0009095043201455
Roupa Feminina Short Jeans Cintura Alta Hot Pant Com Lycra,4.4,29.0,11.0,gtz,jeans,Feminino,primavera/verão,+100,79.19,0.777777777777778,0.003085059497576,0.0983606557377049,0.1164864772688516,347,75,7,100.0,0.0004547521600727,0.0300136425648021
Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,4.5,3036.0,18.0,lupo,algodão,Masculino,outono/inverno,+10mil,232.89,0.8148148148148148,0.3343984133979726,0.2131147540983606,0.3785853142798676,463,25,3,10000.0,0.0422919508867667,0.176443838108231
Kit Com 10 Cuecas Boxer Algodão Sem Costura Zorba 781,4.7,5688.0,20.0,zorba,algodão,Masculino,não definido,+50mil,199.9,0.888888888888889,0.626597620096959,0.2459016393442623,0.3223287063879131,838,25,1,50000.0,0.0090950432014552,0.176443838108231
Macacão Apicultor Roupa Proteção Abelha Com Máscara + Brinde,4.1,332.0,10.0,celi,algodão,Sem gênero,não definido,+1000,166.21,0.6666666666666666,0.0364698104892022,0.0819672131147541,0.2648784147880358,177,25,1,1000.0,0.0077307867212369,0.176443838108231
Calça Legging Fake Jeans Roupa Fitness Academia Kit 02 Peças,4.4,19.0,10.0,propria,elastano,Feminino,não definido,+50,99.1,0.777777777777778,0.001983252534156,0.0819672131147541,0.1504382524470516,630,62,1,50.0,0.0050022737608003,0.0045475216007276
Kit 15 Cuecas Box Boxer Infantil Mallbeck De Microfibra.,4.1,45.0,6.0,cueca infantil-cueca para meninos-roupa íntima infantil-calcinha e cueca infantil-cueca boxer infantil-conjunto de cueca infantil-moda íntima infantil-cueca infantil atacada-cuecas divertidas para crianças-cueca infantil estampada-kit cuecas infantis,microfibra,Meninos,não definido,+100,58.45,0.6666666666666666,0.004847950639048,0.0163934426229508,0.0811193342655434,209,101,1,100.0,0.0004547521600727,0.0300136425648021
Conjunto Fitness Feminino Top Short Roupas P/ Academia A19,4.4,9.0,26.0,akorio,poliéster,Feminino,primavera/verão,+100,46.7,0.777777777777778,0.000881445570736,0.3442622950819672,0.0610825005968418,21,122,7,100.0,0.0045475216007276,0.1173260572987721
Short Saia Jeans Plus Size Com Lycra Cós Alto Levanta Bumbum,4.5,41.0,6.0,wreis jeans,algodão,Feminino,primavera/verão,+100,67.98,0.8148148148148148,0.00440722785368,0.0163934426229508,0.0973704853176904,825,25,7,100.0,0.0040927694406548,0.176443838108231
Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,4.8,1429.0,30.0,lupo,microfibra,Masculino,primavera/verão,+10mil,69.99,0.925925925925926,0.1573380343763772,0.4098360655737705,0.1007980628218682,463,101,7,10000.0,0.0422919508867667,0.0300136425648021
Kit 7 Calcinha Cós Elegante Cos Alto Conforto Microfibra,3.8,19.0,5.0,mallbeck-calcinha confortavel - calcinha tanga-,microfibra,Feminino,não definido,+100,49.12,0.5555555555555555,0.001983252534156,0.0,0.0652092357013744,476,101,1,100.0,0.0013642564802182,0.0300136425648021
Kit 5 Bermuda Masculinha Moletinho Academia Verão Praia,4.3,6.0,5.0,canario,moletinho,Masculino,primavera/verão,+50,156.14,0.7407407407407406,0.00055090348171,0.0,0.2477064220183486,170,106,7,50.0,0.0100045475216007,0.0072760345611641
Kit 2 Conjuntos Segunda Pele Forrada Frio Intenso,4.5,104.0,10.0,hot lee,poliéster,Sem gênero,outono/inverno,+100,219.1,0.8148148148148148,0.011348611723226,0.0819672131147541,0.3550697452337915,357,122,3,100.0,0.0004547521600727,0.1173260572987721
Kit 3 Pijama Feminino Longo Suede Inverno Frio Tecido Macio,4.7,18.0,10.0,donna babi,suede,Feminino,outono/inverno,+25,145.31,0.888888888888889,0.001873071837814,0.0819672131147541,0.2292384297943453,245,147,3,25.0,0.0009095043201455,0.0009095043201455
Kit 10 Peças Roupa Infantil Menino 5 Shorts + 5 Camisetas,3.2,5.0,10.0,imperio kids,algodão,Meninos,primavera/verão,+25,155.31,0.3333333333333333,0.000440722785368,0.0819672131147541,0.2462910541932403,364,25,7,25.0,0.0086402910413824,0.176443838108231
Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507.0,9.0,menina linda,jean,Feminino,primavera/verão,+1000,129.2,0.777777777777778,0.0557514323490524,0.0655737704918032,0.2017666518877255,509,74,7,1000.0,0.0100045475216007,0.0254661209640745
Kit Com 10 Cuecas Boxer Masculina Polo London Club - Oferta,4.1,35.0,38.0,polo london club,algodão,Masculino,primavera/verão,+100,179.9,0.6666666666666666,0.003746143675628,0.5409836065573771,0.2882234575901231,617,25,7,100.0,0.0004547521600727,0.176443838108231
Kit 2 Calças Jeans Masculina Com Lycra.,4.6,2146.0,5.0,almix,jean,Masculino,primavera/verão,+10mil,134.3,0.8518518518518517,0.2363375936535919,0.0,0.210463490331162,26,74,7,10000.0,0.0054570259208731,0.0254661209640745
Kit 3 Calças Jogger Masculina Jeans Com Punho Elastico,4.3,779.0,9.0,gbgsports,sarja,Masculino,outono/inverno,+1000,182.34,0.7407407407407406,0.0857205817540767,0.0655737704918032,0.2923842979434535,324,138,3,1000.0,0.0059117780809458,0.0154615734424738
5 Bermudas Fitness Feminina Tapa Bumbum Roupas Academia B05,4.5,6.0,11.0,própria,poliéster,Feminino,primavera/verão,+25,149.41,0.8148148148148148,0.00055090348171,0.0983606557377049,0.2362300057978923,633,122,7,25.0,0.0100045475216007,0.1173260572987721
Kit 3 Calça Jogger Ribana Feminina Para Academia Moda Fit,3.8,165.0,5.0,ems textil,"algodão, calca moletom",Feminino,outono/inverno,+1000,133.62,0.5555555555555555,0.0180696342000881,0.0,0.2093039118720371,264,35,3,1000.0,0.0004547521600727,0.0004547521600727
Shorts Saia Jeans Plus Size Com Detalhes E Lycra,4.6,141.0,8.0,menina linda,algodão,Feminino,primavera/verão,+1000,66.63,0.8518518518518517,0.0154252974878801,0.0491803278688524,0.0950683810238395,509,25,7,1000.0,0.0100045475216007,0.176443838108231
Calça Moletom Masculina Flanelada Sem Punho Malwee,5.0,8.0,13.0,malwee,algodão,Masculino,outono/inverno,+25,139.79,1.0,0.000771264874394,0.1311475409836065,0.2198253811261553,479,25,3,25.0,0.0031832651205093,0.176443838108231
Kit 10 Cuecas Box Lupo Algodão Boxer Masculina Cotton Com Nf,4.5,795.0,44.0,lupo,algodão cotton,Masculino,primavera-verão - outono-inverno,+10mil,317.9,0.8148148148148148,0.0874834728955487,0.639344262295082,0.523549674294874,463,30,5,10000.0,0.0422919508867667,0.003638017280582
Kit 3 Short Jeans Cintura Alta Levanta Bumbum Destroyed,4.6,68.0,10.0,menina linda,algodão,Feminino,primavera/verão,+100,129.91,0.8518518518518517,0.007382106654914,0.0819672131147541,0.202977388220047,509,25,7,100.0,0.0100045475216007,0.176443838108231
Calça Social Plus Size Feminina Roupa 50 Ao 54,4.5,91.0,16.0,annalu uniformes,two way bi elastic,Feminino,outono/inverno,+1000,69.54,0.8148148148148148,0.00991626267078,0.180327868852459,0.100030694723918,47,172,3,1000.0,0.0004547521600727,0.0004547521600727
Kit Com 4 Cueca Box Zorba Algodão - Boxer Sem Costura 781,4.7,215.0,25.0,zorba,algodão,Masculino,primavera-verão outono-inverno,+1000,105.99,0.888888888888889,0.0235786690171881,0.3278688524590164,0.1621875106578902,838,25,6,1000.0,0.0090950432014552,0.176443838108231
Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,4.6,2386.0,22.0,lupo,algodão,Masculino,primavera/verão,+10mil,89.9,0.8518518518518517,0.2627809607756721,0.2786885245901639,0.1347498380000682,463,25,7,10000.0,0.0422919508867667,0.176443838108231
Calça Térmica Masculina Roupa De Frio Forrada Legging,4.6,7.0,35.0,camiseta térmica/mundo térmico,poliester térmico peluciado + elastano,Masculino,primavera/verão,+50,78.28,0.8518518518518517,0.000661084178052,0.4918032786885247,0.1149346884485522,167,119,7,50.0,0.0004547521600727,0.0004547521600727
Short Jeans Feminino Cintura Alta Com Lycra Barra Desfiada,4.4,239.0,6.0,stillger,algodão,Feminino,primavera/verão,+1000,44.29,0.777777777777778,0.0262230057293962,0.0163934426229508,0.0569728181167081,736,25,7,1000.0,0.0327421555252387,0.176443838108231
Roupa Conjunto Térmica Grossa Frio Extremo Forrada + Brinde,4.7,212.0,11.0,neve,poliéster/elastano,Feminino,outono/inverno,+1000,139.71,0.888888888888889,0.0232481269281621,0.0983606557377049,0.2196889601309641,563,127,3,1000.0,0.0013642564802182,0.001819008640291
Kit 3 Short Curto Soltinho Malha De Moletom C/bolso G1 Ao G6,4.0,3.0,8.0,colbacho,algodão,Feminino,primavera/verão,+25,113.6,0.6296296296296297,0.000220361392684,0.0491803278688524,0.1751645578254493,192,25,7,25.0,0.0054570259208731,0.176443838108231
Shorts adidas 3 Stripes - Original,4.3,27.0,11.0,adidas,algodão/poliéster,Masculino,primavera/verão,+100,199.99,0.7407407407407406,0.002864698104892,0.0983606557377049,0.3224821800075031,13,37,7,100.0,0.0109140518417462,0.0004547521600727
Minhocão Calça Ceroula Masculina Long Leg Mijão Promoção,4.7,208.0,50.0,bela notte,algodão,Masculino,primavera/verão/outono/inverno,+1000,78.49,0.888888888888889,0.0228074041427941,0.7377049180327869,0.115292793560929,116,25,9,1000.0,0.0004547521600727,0.176443838108231
Shorts Moletom Masculino Infantil Kit 7 Peças Promoção Cores,4.5,26.0,9.0,ak art lover,shorts de algodão para menino,Meninos,primavera/verão,+100,139.37,0.8148148148148148,0.00275451740855,0.0655737704918032,0.2191091709014017,18,145,7,100.0,0.001819008640291,0.0004547521600727
Bermuda Short Jeans Masculino Plus Size 36 Ao 56 Elastano,4.8,6.0,5.0,galanteador,algodão,Masculino,primavera/verão,+50,78.63,0.925925925925926,0.00055090348171,0.0,0.1155315303025135,320,25,7,50.0,0.0027285129604365,0.176443838108231
Calça Treino Essentials 3 Listras Masculina adidas Novo,4.8,19.0,36.0,adidas,poliéster,Masculino,outono/inverno,+50,299.68,0.925925925925926,0.001983252534156,0.5081967213114754,0.4924797926400873,13,122,3,50.0,0.0109140518417462,0.1173260572987721
Short Saia Jeans Plus Size Feminino Cintura Alta Com Lycra,4.9,77.0,11.0,stillger jeans,algodão,Feminino,primavera/verão,+100,72.88,0.9629629629629632,0.008373732921992,0.0983606557377049,0.1057262712731489,738,25,7,100.0,0.0154615734424738,0.176443838108231
Camiseta Masculina Básica Atacado Algodão Penteado 5 Peças,4.8,21.0,19.0,ak art lover,camiseta básica de algodão masculina,Masculino,não definido,+50,129.12,0.925925925925926,0.00220361392684,0.2295081967213114,0.2016302308925343,18,52,1,50.0,0.001819008640291,0.0004547521600727
Kit 3 Short Jeans Feminino Cintura Alta Com Lycra Modelador,4.4,8.0,18.0,menina linda,algodão,Feminino,primavera/verão,+5,149.17,0.777777777777778,0.000771264874394,0.2131147540983606,0.2358207428123188,509,25,7,5.0,0.0100045475216007,0.176443838108231
Calça Jeans Super Lipo Feminina Azul Sawary,4.6,18.0,38.0,sawary,algodão,Feminino,outono/inverno,+100,183.99,0.8518518518518517,0.001873071837814,0.5409836065573771,0.2951979809692712,692,25,3,100.0,0.0068212824010914,0.176443838108231
Short Masculino Malha Plana Aeroready adidas,4.8,14.0,5.0,adidas,poliéster,Masculino,não definido,+100,129.99,0.925925925925926,0.001432349052446,0.0,0.2031138092152382,13,122,1,100.0,0.0109140518417462,0.1173260572987721
Kit 9 Cuecas Lupo Slip Masculino Algodão Adulto Original,4.5,11.0,24.0,lupo,algodão,Masculino,outono/inverno,+50,229.64,0.8148148148148148,0.00110180696342,0.3114754098360656,0.3730432113502268,463,25,3,50.0,0.0422919508867667,0.176443838108231
"Kit Com 4 Short Para Usar Embaixo Da Roupa, Vestido, Saia",4.2,88.0,11.0,silvest lingerie,poliéster,Feminino,primavera/verão,+1000,57.93,0.7037037037037038,0.009585720581754,0.0983606557377049,0.0802325977968009,719,122,7,1000.0,0.0022737608003638,0.1173260572987721
Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,4.2,621.0,5.0,lupo,algodão 95%,Masculino,2021,+1000,179.9,0.7037037037037038,0.0683120317320405,0.0,0.2882234575901231,463,27,0,1000.0,0.0422919508867667,0.003638017280582
